Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Firefox 57.0,,2017-11-28 15:46:40,2017-11-28 15:47:42,"1m - 1,439s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Firefox 57.0,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-28 15:46:41,2017-11-28 15:47:14,"33,045s",FAILED
openBrowser,Firefox 57.0,,2017-11-28 15:46:42,2017-11-28 15:46:48,"6,153s",PASSED
maximizeWindow,Firefox 57.0,,2017-11-28 15:46:48,2017-11-28 15:46:51,"3,569s",PASSED
navigateToUrl,Firefox 57.0,,2017-11-28 15:46:51,2017-11-28 15:46:52,"0,706s",PASSED
setText,Firefox 57.0,,2017-11-28 15:46:52,2017-11-28 15:46:52,"0,276s",PASSED
setText,Firefox 57.0,,2017-11-28 15:46:52,2017-11-28 15:46:53,"0,186s",PASSED
setText,Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:53,"0,146s",PASSED
setText,Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:53,"0,098s",PASSED
setText,Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:53,"0,085s",PASSED
setText,Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:53,"0,071s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:53,"0,001s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:53,"0,303s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:53,"0,021s",PASSED
Statement - randomPaxIndex = 1,Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:53,"0,002s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:46:53,2017-11-28 15:46:56,"2,708s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 57.0,,2017-11-28 15:46:56,2017-11-28 15:46:56,"0,011s",PASSED
"Statement - roomContainerXpath = ""id(""booking"")/div[@class=""wrapper second-bg""]/div[contains(@class,""container-mx"")]/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Firefox 57.0,,2017-11-28 15:46:56,2017-11-28 15:46:56,"0,001s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Firefox 57.0,,2017-11-28 15:46:56,2017-11-28 15:46:56,"0,026s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Firefox 57.0,,2017-11-28 15:46:56,2017-11-28 15:46:56,"0,003s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Firefox 57.0,,2017-11-28 15:46:56,2017-11-28 15:46:56,"0,248s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:46:56,2017-11-28 15:46:56,"0,049s",PASSED
click,Firefox 57.0,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-28 15:46:56,2017-11-28 15:46:57,"0,268s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:46:57,2017-11-28 15:46:57,"0,201s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:46:57,2017-11-28 15:46:57,"0,140s",PASSED
waitForElementVisible,Firefox 57.0,,2017-11-28 15:46:57,2017-11-28 15:46:57,"0,074s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:46:57,2017-11-28 15:46:57,"0,016s",PASSED
click,Firefox 57.0,,2017-11-28 15:46:57,2017-11-28 15:46:57,"0,359s",PASSED
waitForElementNotVisible,Firefox 57.0,Wait for page loader to dissapear before making verifications,2017-11-28 15:46:57,2017-11-28 15:46:58,"0,636s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:46:58,2017-11-28 15:47:14,"15,602s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 2,Firefox 57.0,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-28 15:47:14,2017-11-28 15:47:41,"27,378s",PASSED
openBrowser,Firefox 57.0,,2017-11-28 15:47:14,2017-11-28 15:47:17,"3,178s",PASSED
maximizeWindow,Firefox 57.0,,2017-11-28 15:47:17,2017-11-28 15:47:17,"0,094s",PASSED
navigateToUrl,Firefox 57.0,,2017-11-28 15:47:17,2017-11-28 15:47:18,"0,684s",PASSED
setText,Firefox 57.0,,2017-11-28 15:47:18,2017-11-28 15:47:18,"0,147s",PASSED
setText,Firefox 57.0,,2017-11-28 15:47:18,2017-11-28 15:47:18,"0,097s",PASSED
setText,Firefox 57.0,,2017-11-28 15:47:18,2017-11-28 15:47:18,"0,259s",PASSED
setText,Firefox 57.0,,2017-11-28 15:47:18,2017-11-28 15:47:18,"0,104s",PASSED
setText,Firefox 57.0,,2017-11-28 15:47:18,2017-11-28 15:47:19,"0,076s",PASSED
setText,Firefox 57.0,,2017-11-28 15:47:19,2017-11-28 15:47:19,"0,154s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Firefox 57.0,,2017-11-28 15:47:19,2017-11-28 15:47:19,"0,000s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Firefox 57.0,,2017-11-28 15:47:19,2017-11-28 15:47:19,"0,020s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Firefox 57.0,,2017-11-28 15:47:19,2017-11-28 15:47:19,"0,001s",PASSED
Statement - randomPaxIndex = 1,Firefox 57.0,,2017-11-28 15:47:19,2017-11-28 15:47:19,"0,001s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:47:19,2017-11-28 15:47:21,"2,720s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 57.0,,2017-11-28 15:47:21,2017-11-28 15:47:21,"0,000s",PASSED
"Statement - roomContainerXpath = ""id(""booking"")/div[@class=""wrapper second-bg""]/div[contains(@class,""container-mx"")]/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Firefox 57.0,,2017-11-28 15:47:21,2017-11-28 15:47:21,"0,001s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Firefox 57.0,,2017-11-28 15:47:21,2017-11-28 15:47:21,"0,008s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Firefox 57.0,,2017-11-28 15:47:21,2017-11-28 15:47:21,"0,000s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Firefox 57.0,,2017-11-28 15:47:21,2017-11-28 15:47:22,"0,397s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:22,2017-11-28 15:47:22,"0,024s",PASSED
click,Firefox 57.0,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-28 15:47:22,2017-11-28 15:47:22,"0,255s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:22,2017-11-28 15:47:22,"0,022s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:47:22,2017-11-28 15:47:22,"0,021s",PASSED
waitForElementVisible,Firefox 57.0,,2017-11-28 15:47:22,2017-11-28 15:47:22,"0,041s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:22,2017-11-28 15:47:22,"0,061s",PASSED
click,Firefox 57.0,,2017-11-28 15:47:22,2017-11-28 15:47:23,"1,149s",PASSED
waitForElementNotVisible,Firefox 57.0,Wait for page loader to dissapear before making verifications,2017-11-28 15:47:23,2017-11-28 15:47:24,"0,668s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:24,2017-11-28 15:47:24,"0,031s",PASSED
waitForElementPresent,Firefox 57.0,,2017-11-28 15:47:24,2017-11-28 15:47:24,"0,031s",PASSED
waitForElementVisible,Firefox 57.0,,2017-11-28 15:47:24,2017-11-28 15:47:24,"0,078s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:47:24,2017-11-28 15:47:24,"0,016s",PASSED
click,Firefox 57.0,,2017-11-28 15:47:24,2017-11-28 15:47:25,"0,298s",PASSED
click,Firefox 57.0,Select default travel insurance\r\n,2017-11-28 15:47:25,2017-11-28 15:47:25,"0,385s",PASSED
click,Firefox 57.0,Click on individual pax insurance selection checkbox,2017-11-28 15:47:25,2017-11-28 15:47:25,"0,000s",NOT_RUN
scrollToElement,Firefox 57.0,,2017-11-28 15:47:25,2017-11-28 15:47:25,"0,000s",NOT_RUN
click,Firefox 57.0,,2017-11-28 15:47:25,2017-11-28 15:47:25,"0,000s",NOT_RUN
waitForElementVisible,Firefox 57.0,,2017-11-28 15:47:25,2017-11-28 15:47:25,"0,047s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:25,2017-11-28 15:47:25,"0,047s",PASSED
click,Firefox 57.0,Click on individual pax insurance selection checkbox,2017-11-28 15:47:25,2017-11-28 15:47:25,"0,281s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:25,2017-11-28 15:47:25,"0,125s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:47:25,2017-11-28 15:47:26,"0,334s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:26,2017-11-28 15:47:26,"0,043s",PASSED
click,Firefox 57.0,"Click on first product category \""Individual choices\"" radio button",2017-11-28 15:47:26,2017-11-28 15:47:26,"0,279s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:26,2017-11-28 15:47:26,"0,063s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:47:26,2017-11-28 15:47:26,"0,078s",PASSED
click,Firefox 57.0,"Click on first product category \""Yes please\"" checkbox, so all passengers get default product in category",2017-11-28 15:47:26,2017-11-28 15:47:27,"0,312s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:27,2017-11-28 15:47:27,"0,000s",NOT_RUN
scrollToElement,Firefox 57.0,Scroll to Accept terms checkbox LABEL,2017-11-28 15:47:27,2017-11-28 15:47:27,"0,000s",NOT_RUN
click,Firefox 57.0,Click on to Accept terms checkbox LABEL,2017-11-28 15:47:27,2017-11-28 15:47:27,"0,000s",NOT_RUN
scrollToElement,Firefox 57.0,Scroll to Accept terms checkbox ,2017-11-28 15:47:27,2017-11-28 15:47:27,"0,031s",PASSED
click,Firefox 57.0,Click on to Accept terms checkbox ,2017-11-28 15:47:27,2017-11-28 15:47:27,"0,303s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:47:27,2017-11-28 15:47:27,"0,047s",PASSED
scrollToElement,Firefox 57.0,,2017-11-28 15:47:27,2017-11-28 15:47:27,"0,016s",PASSED
click,Firefox 57.0,Click on save booking.,2017-11-28 15:47:27,2017-11-28 15:47:27,"0,271s",PASSED
delay,Firefox 57.0,,2017-11-28 15:47:27,2017-11-28 15:47:29,"2,013s",PASSED
waitForPageLoad,Firefox 57.0,Wait for TY page to load,2017-11-28 15:47:29,2017-11-28 15:47:29,"0,032s",PASSED
waitForJQueryLoad,Firefox 57.0,Wait for TY page to load,2017-11-28 15:47:29,2017-11-28 15:47:33,"3,776s",PASSED
waitForElementPresent,Firefox 57.0,Wait for page loader to dissapear before making verifications,2017-11-28 15:47:33,2017-11-28 15:47:33,"0,079s",PASSED
waitForElementNotVisible,Firefox 57.0,Wait for page loader to dissapear before making verifications,2017-11-28 15:47:33,2017-11-28 15:47:34,"0,594s",PASSED
waitForElementClickable,Firefox 57.0,"Wait for booking to be placed, max 30 seconds",2017-11-28 15:47:34,2017-11-28 15:47:34,"0,015s",PASSED
verifyElementVisible,Firefox 57.0,Check TY page contains important elements,2017-11-28 15:47:34,2017-11-28 15:47:34,"0,047s",PASSED
verifyElementVisible,Firefox 57.0,,2017-11-28 15:47:34,2017-11-28 15:47:34,"0,016s",PASSED
verifyElementVisible,Firefox 57.0,,2017-11-28 15:47:34,2017-11-28 15:47:34,"0,031s",PASSED
verifyElementVisible,Firefox 57.0,,2017-11-28 15:47:34,2017-11-28 15:47:34,"0,047s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:47:34,2017-11-28 15:47:34,"0,007s",PASSED
click,Firefox 57.0,Print ticket click,2017-11-28 15:47:34,2017-11-28 15:47:39,"5,278s",PASSED
delay,Firefox 57.0,,2017-11-28 15:47:39,2017-11-28 15:47:40,"1,027s",PASSED
waitForElementVisible,Firefox 57.0,,2017-11-28 15:47:40,2017-11-28 15:47:40,"0,049s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-28 15:47:40,2017-11-28 15:47:40,"0,031s",PASSED
click,Firefox 57.0,Login to CC click,2017-11-28 15:47:40,2017-11-28 15:47:41,"0,738s",PASSED
waitForPageLoad,Firefox 57.0,,2017-11-28 15:47:41,2017-11-28 15:47:41,"0,047s",PASSED
waitForJQueryLoad,Firefox 57.0,,2017-11-28 15:47:41,2017-11-28 15:47:41,"0,031s",PASSED
waitForElementPresent,Firefox 57.0,Wait for page loader to dissapear before making verifications,2017-11-28 15:47:41,2017-11-28 15:47:41,"0,016s",PASSED
waitForElementNotVisible,Firefox 57.0,Wait for page loader to dissapear before making verifications,2017-11-28 15:47:41,2017-11-28 15:47:41,"0,031s",PASSED
verifyElementVisible,Firefox 57.0,Check bookingNo is in the page in CCenter,2017-11-28 15:47:41,2017-11-28 15:47:41,"0,031s",PASSED
verifyElementVisible,Firefox 57.0,Check bookingTotal is in the page in CCenter,2017-11-28 15:47:41,2017-11-28 15:47:41,"0,039s",PASSED
