Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Firefox 57.0,,2017-11-29 11:05:52,2017-11-29 11:12:02,"6m - 10,190s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Firefox 57.0,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-29 11:05:52,2017-11-29 11:06:20,"27,619s",FAILED
openBrowser,Firefox 57.0,,2017-11-29 11:05:53,2017-11-29 11:05:57,"3,941s",PASSED
maximizeWindow,Firefox 57.0,,2017-11-29 11:05:57,2017-11-29 11:05:57,"0,111s",PASSED
navigateToUrl,Firefox 57.0,,2017-11-29 11:05:57,2017-11-29 11:05:59,"1,820s",PASSED
setText,Firefox 57.0,,2017-11-29 11:05:59,2017-11-29 11:05:59,"0,234s",PASSED
setText,Firefox 57.0,,2017-11-29 11:05:59,2017-11-29 11:05:59,"0,297s",PASSED
setText,Firefox 57.0,,2017-11-29 11:05:59,2017-11-29 11:06:00,"0,156s",PASSED
setText,Firefox 57.0,,2017-11-29 11:06:00,2017-11-29 11:06:00,"0,145s",PASSED
setText,Firefox 57.0,,2017-11-29 11:06:00,2017-11-29 11:06:00,"0,109s",PASSED
setText,Firefox 57.0,,2017-11-29 11:06:00,2017-11-29 11:06:00,"0,257s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Firefox 57.0,,2017-11-29 11:06:00,2017-11-29 11:06:00,"0,000s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Firefox 57.0,,2017-11-29 11:06:00,2017-11-29 11:06:00,"0,306s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Firefox 57.0,,2017-11-29 11:06:00,2017-11-29 11:06:00,"0,015s",PASSED
Statement - randomPaxIndex = 1,Firefox 57.0,,2017-11-29 11:06:00,2017-11-29 11:06:00,"0,000s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-29 11:06:00,2017-11-29 11:06:02,"1,662s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Firefox 57.0,,2017-11-29 11:06:02,2017-11-29 11:06:02,"0,000s",PASSED
"Statement - roomContainerXpath = ""id(""booking"")/div[@class=""wrapper second-bg""]/div[contains(@class,""container-mx"")]/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Firefox 57.0,,2017-11-29 11:06:02,2017-11-29 11:06:02,"0,000s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Firefox 57.0,,2017-11-29 11:06:02,2017-11-29 11:06:02,"0,016s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Firefox 57.0,,2017-11-29 11:06:02,2017-11-29 11:06:02,"0,015s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Firefox 57.0,,2017-11-29 11:06:02,2017-11-29 11:06:02,"0,282s",PASSED
scrollToElement,Firefox 57.0,,2017-11-29 11:06:02,2017-11-29 11:06:02,"0,109s",PASSED
click,Firefox 57.0,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-29 11:06:02,2017-11-29 11:06:03,"0,283s",PASSED
scrollToElement,Firefox 57.0,,2017-11-29 11:06:03,2017-11-29 11:06:03,"0,016s",PASSED
waitForElementClickable,Firefox 57.0,,2017-11-29 11:06:03,2017-11-29 11:06:03,"0,031s",PASSED
waitForElementVisible,Firefox 57.0,,2017-11-29 11:06:03,2017-11-29 11:06:03,"0,062s",PASSED
scrollToElement,Firefox 57.0,,2017-11-29 11:06:03,2017-11-29 11:06:03,"0,032s",PASSED
click,Firefox 57.0,,2017-11-29 11:06:03,2017-11-29 11:06:03,"0,355s",PASSED
delay,Firefox 57.0,,2017-11-29 11:06:03,2017-11-29 11:06:04,"1,034s",PASSED
waitForElementNotVisible,Firefox 57.0,Wait for page loader to dissapear before making verifications,2017-11-29 11:06:04,2017-11-29 11:06:04,"0,079s",PASSED
scrollToElement,Firefox 57.0,,2017-11-29 11:06:04,2017-11-29 11:06:20,"15,526s",FAILED
,,,,,,
