Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-28 12:30:55,2017-11-28 12:39:53,"8m - 58,148s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Chrome 62.0.3202.94,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-28 12:30:55,2017-11-28 12:31:11,"15,854s",FAILED
openBrowser,Chrome 62.0.3202.94,,2017-11-28 12:30:57,2017-11-28 12:31:01,"4,451s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-28 12:31:01,2017-11-28 12:31:03,"1,180s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-28 12:31:03,2017-11-28 12:31:05,"2,489s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 12:31:05,2017-11-28 12:31:06,"0,516s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 12:31:06,2017-11-28 12:31:06,"0,363s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 12:31:06,2017-11-28 12:31:06,"0,363s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 12:31:06,2017-11-28 12:31:06,"0,169s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 12:31:06,2017-11-28 12:31:07,"0,330s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 12:31:07,2017-11-28 12:31:07,"0,299s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Chrome 62.0.3202.94,,2017-11-28 12:31:07,2017-11-28 12:31:07,"0,001s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Chrome 62.0.3202.94,,2017-11-28 12:31:07,2017-11-28 12:31:07,"0,280s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Chrome 62.0.3202.94,,2017-11-28 12:31:07,2017-11-28 12:31:07,"0,011s",PASSED
Statement - randomPaxIndex = 1,Chrome 62.0.3202.94,,2017-11-28 12:31:07,2017-11-28 12:31:07,"0,001s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-28 12:31:07,2017-11-28 12:31:09,"1,165s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:09,"0,009s",PASSED
"Statement - roomContainerXpath = ""id(""booking"")/div[@class=""wrapper second-bg""]/div[contains(@class,""container-mx"")]/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:09,"0,001s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:09,"0,031s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:09,"0,004s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:09,"0,687s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:09,"0,047s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-28 12:31:09,2017-11-28 12:31:09,"0,072s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:09,"0,046s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:09,"0,038s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-28 12:31:09,2017-11-28 12:31:10,"0,070s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 12:31:10,2017-11-28 12:31:10,"0,039s",PASSED
click,Chrome 62.0.3202.94,,2017-11-28 12:31:10,2017-11-28 12:31:10,"0,094s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 12:31:10,2017-11-28 12:31:10,"0,626s",PASSED
