Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-24 18:07:07,2017-11-24 18:08:29,"1m - 22,913s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking,Chrome 62.0.3202.94,,2017-11-24 18:07:07,2017-11-24 18:08:29,"1m - 21,785s",FAILED
openBrowser,Chrome 62.0.3202.94,,2017-11-24 18:07:09,2017-11-24 18:07:12,"2,894s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-24 18:07:12,2017-11-24 18:07:14,"1,961s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-24 18:07:14,2017-11-24 18:07:16,"2,579s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 18:07:16,2017-11-24 18:07:17,"0,743s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 18:07:17,2017-11-24 18:07:18,"1,214s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 18:07:18,2017-11-24 18:07:19,"0,582s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 18:07:19,2017-11-24 18:07:19,"0,352s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 18:07:19,2017-11-24 18:07:20,"1,053s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 18:07:20,2017-11-24 18:07:21,"0,486s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Chrome 62.0.3202.94,,2017-11-24 18:07:21,2017-11-24 18:07:21,"0,001s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Chrome 62.0.3202.94,,2017-11-24 18:07:21,2017-11-24 18:07:24,"3,525s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Chrome 62.0.3202.94,,2017-11-24 18:07:24,2017-11-24 18:07:24,"0,014s",PASSED
Statement - randomPaxIndex = 1,Chrome 62.0.3202.94,,2017-11-24 18:07:24,2017-11-24 18:07:24,"0,005s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 62.0.3202.94,,2017-11-24 18:07:24,2017-11-24 18:07:24,"0,040s",PASSED
"Statement - roomContainerXpath = ""id(""booking"")/div[@class=""wrapper second-bg""]/div[@class=""container-mx small-padding""]/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Chrome 62.0.3202.94,,2017-11-24 18:07:24,2017-11-24 18:07:24,"0,004s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Chrome 62.0.3202.94,,2017-11-24 18:07:24,2017-11-24 18:07:24,"0,119s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Chrome 62.0.3202.94,,2017-11-24 18:07:24,2017-11-24 18:07:24,"0,016s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Chrome 62.0.3202.94,,2017-11-24 18:07:24,2017-11-24 18:07:24,"0,001s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-24 18:07:24,2017-11-24 18:07:25,"0,113s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-24 18:07:25,2017-11-24 18:07:25,"0,212s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-24 18:07:25,2017-11-24 18:07:25,"0,107s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-24 18:07:25,2017-11-24 18:07:25,"0,112s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-24 18:07:25,2017-11-24 18:07:25,"0,249s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-24 18:07:25,2017-11-24 18:07:25,"0,063s",PASSED
click,Chrome 62.0.3202.94,,2017-11-24 18:07:25,2017-11-24 18:07:25,"0,156s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-11-24 18:07:25,2017-11-24 18:07:36,"10,687s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-24 18:07:36,2017-11-24 18:07:47,"10,637s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-24 18:07:47,2017-11-24 18:07:57,"10,385s",PASSED
click,Chrome 62.0.3202.94,,2017-11-24 18:07:57,2017-11-24 18:08:29,"31,528s",FAILED
