Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-29 10:22:22,2017-11-29 10:27:16,"4m - 54,100s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Chrome 62.0.3202.94,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-29 10:22:22,2017-11-29 10:23:08,"45,780s",FAILED
openBrowser,Chrome 62.0.3202.94,,2017-11-29 10:22:23,2017-11-29 10:22:28,"4,536s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-29 10:22:28,2017-11-29 10:22:29,"1,174s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-29 10:22:29,2017-11-29 10:22:33,"4,221s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 10:22:33,2017-11-29 10:22:33,"0,414s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 10:22:33,2017-11-29 10:22:34,"0,313s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 10:22:34,2017-11-29 10:22:34,"0,243s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 10:22:34,2017-11-29 10:22:34,"0,179s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 10:22:34,2017-11-29 10:22:35,"0,569s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 10:22:35,2017-11-29 10:22:35,"0,250s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Chrome 62.0.3202.94,,2017-11-29 10:22:35,2017-11-29 10:22:35,"0,000s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Chrome 62.0.3202.94,,2017-11-29 10:22:35,2017-11-29 10:22:35,"0,319s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Chrome 62.0.3202.94,,2017-11-29 10:22:35,2017-11-29 10:22:35,"0,010s",PASSED
Statement - randomPaxIndex = 1,Chrome 62.0.3202.94,,2017-11-29 10:22:35,2017-11-29 10:22:35,"0,001s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-29 10:22:35,2017-11-29 10:22:39,"3,352s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 62.0.3202.94,,2017-11-29 10:22:39,2017-11-29 10:22:39,"0,010s",PASSED
"Statement - roomContainerXpath = ""id(""booking"")/div[@class=""wrapper second-bg""]/div[contains(@class,""container-mx"")]/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Chrome 62.0.3202.94,,2017-11-29 10:22:39,2017-11-29 10:22:39,"0,000s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Chrome 62.0.3202.94,,2017-11-29 10:22:39,2017-11-29 10:22:39,"0,039s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Chrome 62.0.3202.94,,2017-11-29 10:22:39,2017-11-29 10:22:39,"0,003s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Chrome 62.0.3202.94,,2017-11-29 10:22:39,2017-11-29 10:22:39,"0,541s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:39,2017-11-29 10:22:39,"0,048s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-29 10:22:39,2017-11-29 10:22:39,"0,068s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:39,2017-11-29 10:22:39,"0,036s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-29 10:22:39,2017-11-29 10:22:40,"0,042s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-29 10:22:40,2017-11-29 10:22:40,"0,079s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:40,2017-11-29 10:22:40,"0,055s",PASSED
click,Chrome 62.0.3202.94,,2017-11-29 10:22:40,2017-11-29 10:22:40,"0,098s",PASSED
delay,Chrome 62.0.3202.94,,2017-11-29 10:22:40,2017-11-29 10:22:41,"1,019s",PASSED
waitForElementNotVisible,Chrome 62.0.3202.94,Wait for page loader to dissapear before making verifications,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,106s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,038s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,029s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,034s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,028s",PASSED
click,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,091s",PASSED
click,Chrome 62.0.3202.94,Select default travel insurance\r\n,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,113s",PASSED
click,Chrome 62.0.3202.94,Click on individual pax insurance selection checkbox,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,002s",NOT_RUN
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,001s",NOT_RUN
click,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,001s",NOT_RUN
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,060s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,060s",PASSED
click,Chrome 62.0.3202.94,Click on individual pax insurance selection checkbox,2017-11-29 10:22:41,2017-11-29 10:22:41,"0,089s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:41,2017-11-29 10:22:42,"0,112s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-29 10:22:42,2017-11-29 10:22:42,"0,120s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:42,2017-11-29 10:22:42,"0,147s",PASSED
click,Chrome 62.0.3202.94,"Click on first product category \""Individual choices\"" radio button",2017-11-29 10:22:42,2017-11-29 10:22:42,"0,166s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:42,2017-11-29 10:22:42,"0,097s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-29 10:22:42,2017-11-29 10:22:42,"0,047s",PASSED
click,Chrome 62.0.3202.94,"Click on first product category \""Yes please\"" checkbox, so all passengers get default product in category",2017-11-29 10:22:42,2017-11-29 10:22:42,"0,137s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 10:22:42,2017-11-29 10:22:42,"0,000s",NOT_RUN
scrollToElement,Chrome 62.0.3202.94,Scroll to Accept terms checkbox LABEL,2017-11-29 10:22:42,2017-11-29 10:22:42,"0,000s",NOT_RUN
