Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-27 18:55:14,2017-11-27 18:57:29,"2m - 14,344s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Chrome 62.0.3202.94,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-27 18:55:14,2017-11-27 18:55:27,"12,985s",FAILED
openBrowser,Chrome 62.0.3202.94,,2017-11-27 18:55:15,2017-11-27 18:55:18,"2,979s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-27 18:55:18,2017-11-27 18:55:19,"1,214s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-27 18:55:19,2017-11-27 18:55:21,"1,866s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-27 18:55:21,2017-11-27 18:55:22,"0,532s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-27 18:55:22,2017-11-27 18:55:22,"0,261s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-27 18:55:22,2017-11-27 18:55:22,"0,446s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-27 18:55:22,2017-11-27 18:55:23,"0,157s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-27 18:55:23,2017-11-27 18:55:23,"0,311s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-27 18:55:23,2017-11-27 18:55:23,"0,204s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Chrome 62.0.3202.94,,2017-11-27 18:55:23,2017-11-27 18:55:23,"0,001s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Chrome 62.0.3202.94,,2017-11-27 18:55:23,2017-11-27 18:55:23,"0,288s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Chrome 62.0.3202.94,,2017-11-27 18:55:23,2017-11-27 18:55:23,"0,012s",PASSED
