Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-22 12:33:16,2017-11-22 12:35:27,"2m - 11,068s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Chrome 62.0.3202.94,,2017-11-22 12:33:16,2017-11-22 12:33:30,"14,322s",FAILED
openBrowser,Chrome 62.0.3202.94,,2017-11-22 12:33:17,2017-11-22 12:33:20,"3,049s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-22 12:33:20,2017-11-22 12:33:21,"1,062s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-22 12:33:21,2017-11-22 12:33:24,"3,096s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:24,2017-11-22 12:33:24,"0,328s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:24,2017-11-22 12:33:24,"0,355s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:24,2017-11-22 12:33:25,"0,351s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:25,2017-11-22 12:33:25,"0,165s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:25,2017-11-22 12:33:25,"0,401s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:25,2017-11-22 12:33:26,"0,227s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:26,2017-11-22 12:33:28,"1,947s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:28,2017-11-22 12:33:28,"0,351s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:28,2017-11-22 12:33:28,"0,052s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-22 12:33:28,2017-11-22 12:33:28,"0,096s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:28,2017-11-22 12:33:28,"0,047s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-22 12:33:28,2017-11-22 12:33:28,"0,169s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-22 12:33:28,2017-11-22 12:33:28,"0,097s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:28,2017-11-22 12:33:28,"0,041s",PASSED
click,Chrome 62.0.3202.94,,2017-11-22 12:33:28,2017-11-22 12:33:29,"0,117s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-11-22 12:33:29,2017-11-22 12:33:29,"0,880s",PASSED
click,Chrome 62.0.3202.94,,2017-11-22 12:33:29,2017-11-22 12:33:30,"0,845s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 2,Chrome 62.0.3202.94,,2017-11-22 12:33:30,2017-11-22 12:33:42,"11,992s",FAILED
openBrowser,Chrome 62.0.3202.94,,2017-11-22 12:33:30,2017-11-22 12:33:33,"2,847s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-22 12:33:33,2017-11-22 12:33:34,"1,147s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-22 12:33:34,2017-11-22 12:33:36,"1,671s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:36,2017-11-22 12:33:36,"0,343s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:36,2017-11-22 12:33:37,"0,367s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:37,2017-11-22 12:33:37,"0,375s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:37,2017-11-22 12:33:37,"0,215s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:37,2017-11-22 12:33:38,"0,286s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:38,2017-11-22 12:33:38,"0,212s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:38,2017-11-22 12:33:40,"2,021s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:40,2017-11-22 12:33:40,"0,315s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:40,2017-11-22 12:33:40,"0,044s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-22 12:33:40,2017-11-22 12:33:40,"0,071s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:40,2017-11-22 12:33:40,"0,040s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-22 12:33:40,2017-11-22 12:33:40,"0,039s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-22 12:33:40,2017-11-22 12:33:40,"0,078s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:40,2017-11-22 12:33:40,"0,031s",PASSED
click,Chrome 62.0.3202.94,,2017-11-22 12:33:40,2017-11-22 12:33:41,"0,076s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-11-22 12:33:41,2017-11-22 12:33:41,"0,867s",PASSED
click,Chrome 62.0.3202.94,,2017-11-22 12:33:41,2017-11-22 12:33:42,"0,881s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 3,Chrome 62.0.3202.94,,2017-11-22 12:33:42,2017-11-22 12:33:56,"13,334s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-11-22 12:33:42,2017-11-22 12:33:45,"2,799s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-22 12:33:45,2017-11-22 12:33:46,"1,159s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-22 12:33:46,2017-11-22 12:33:48,"1,856s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:48,2017-11-22 12:33:49,"0,434s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:49,2017-11-22 12:33:49,"0,235s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:49,2017-11-22 12:33:49,"0,403s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:49,2017-11-22 12:33:49,"0,195s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:49,2017-11-22 12:33:50,"0,389s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:50,2017-11-22 12:33:50,"0,232s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:50,2017-11-22 12:33:52,"1,488s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-22 12:33:52,2017-11-22 12:33:52,"0,316s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:52,2017-11-22 12:33:52,"0,036s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-22 12:33:52,2017-11-22 12:33:52,"0,069s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:52,2017-11-22 12:33:52,"0,051s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-22 12:33:52,2017-11-22 12:33:52,"0,043s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-22 12:33:52,2017-11-22 12:33:52,"0,118s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:52,2017-11-22 12:33:52,"0,018s",PASSED
click,Chrome 62.0.3202.94,,2017-11-22 12:33:52,2017-11-22 12:33:52,"0,085s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-11-22 12:33:52,2017-11-22 12:33:53,"0,877s",PASSED
click,Chrome 62.0.3202.94,,2017-11-22 12:33:53,2017-11-22 12:33:54,"0,847s",PASSED
click,Chrome 62.0.3202.94,Select default travel insurance\r\n,2017-11-22 12:33:54,2017-11-22 12:33:54,"0,251s",PASSED
click,Chrome 62.0.3202.94,Click on individual pax insurance selection checkbox,2017-11-22 12:33:54,2017-11-22 12:33:54,"0,003s",NOT_RUN
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:54,2017-11-22 12:33:54,"0,001s",NOT_RUN
click,Chrome 62.0.3202.94,,2017-11-22 12:33:54,2017-11-22 12:33:54,"0,001s",NOT_RUN
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:54,2017-11-22 12:33:54,"0,038s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-22 12:33:54,2017-11-22 12:33:54,"0,035s",PASSED
click,Chrome 62.0.3202.94,Click on individual pax insurance selection checkbox,2017-11-22 12:33:54,2017-11-22 12:33:54,"0,099s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:54,2017-11-22 12:33:55,"0,107s",PASSED
click,Chrome 62.0.3202.94,"Click on first product category \""Individual choices\"" radio button",2017-11-22 12:33:55,2017-11-22 12:33:55,"0,270s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:55,2017-11-22 12:33:55,"0,085s",PASSED
click,Chrome 62.0.3202.94,"Click on first product category \""Yes please\"" checkbox, so all passengers get default product in category",2017-11-22 12:33:55,2017-11-22 12:33:55,"0,226s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:55,2017-11-22 12:33:55,"0,001s",NOT_RUN
scrollToElement,Chrome 62.0.3202.94,Scroll to Accept terms checkbox LABEL,2017-11-22 12:33:55,2017-11-22 12:33:55,"0,003s",NOT_RUN
click,Chrome 62.0.3202.94,Click on to Accept terms checkbox LABEL,2017-11-22 12:33:55,2017-11-22 12:33:55,"0,000s",NOT_RUN
scrollToElement,Chrome 62.0.3202.94,Scroll to Accept terms checkbox ,2017-11-22 12:33:55,2017-11-22 12:33:55,"0,138s",PASSED
click,Chrome 62.0.3202.94,Click on to Accept terms checkbox ,2017-11-22 12:33:55,2017-11-22 12:33:55,"0,119s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-22 12:33:55,2017-11-22 12:33:56,"0,138s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-22 12:33:56,2017-11-22 12:33:56,"0,097s",PASSED
click,Chrome 62.0.3202.94,Click on save booking.,2017-11-22 12:33:56,2017-11-22 12:33:56,"0,000s",NOT_RUN
,,,,,,
