Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-28 13:12:44,2017-11-28 13:16:42,"3m - 58,435s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Chrome 62.0.3202.94,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-28 13:12:44,2017-11-28 13:13:03,"18,198s",FAILED
openBrowser,Chrome 62.0.3202.94,,2017-11-28 13:12:45,2017-11-28 13:12:50,"4,346s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-28 13:12:50,2017-11-28 13:12:51,"1,260s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-28 13:12:51,2017-11-28 13:12:54,"3,197s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 13:12:54,2017-11-28 13:12:54,"0,409s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 13:12:54,2017-11-28 13:12:55,"0,335s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 13:12:55,2017-11-28 13:12:55,"0,332s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 13:12:55,2017-11-28 13:12:55,"0,205s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 13:12:55,2017-11-28 13:12:56,"0,344s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-28 13:12:56,2017-11-28 13:12:56,"0,264s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Chrome 62.0.3202.94,,2017-11-28 13:12:56,2017-11-28 13:12:56,"0,000s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Chrome 62.0.3202.94,,2017-11-28 13:12:56,2017-11-28 13:12:56,"0,276s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Chrome 62.0.3202.94,,2017-11-28 13:12:56,2017-11-28 13:12:56,"0,008s",PASSED
Statement - randomPaxIndex = 1,Chrome 62.0.3202.94,,2017-11-28 13:12:56,2017-11-28 13:12:56,"0,001s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-28 13:12:56,2017-11-28 13:12:57,"1,224s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 62.0.3202.94,,2017-11-28 13:12:57,2017-11-28 13:12:57,"0,000s",PASSED
"Statement - roomContainerXpath = ""id(""booking"")/div[@class=""wrapper second-bg""]/div[contains(@class,""container-mx"")]/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Chrome 62.0.3202.94,,2017-11-28 13:12:57,2017-11-28 13:12:57,"0,000s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Chrome 62.0.3202.94,,2017-11-28 13:12:57,2017-11-28 13:12:57,"0,015s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Chrome 62.0.3202.94,,2017-11-28 13:12:57,2017-11-28 13:12:57,"0,016s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Chrome 62.0.3202.94,,2017-11-28 13:12:57,2017-11-28 13:12:58,"0,668s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 13:12:58,2017-11-28 13:12:58,"0,046s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-28 13:12:58,2017-11-28 13:12:58,"0,079s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 13:12:58,2017-11-28 13:12:58,"0,047s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-28 13:12:58,2017-11-28 13:12:58,"0,055s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-28 13:12:58,2017-11-28 13:12:58,"0,065s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 13:12:58,2017-11-28 13:12:59,"0,068s",PASSED
click,Chrome 62.0.3202.94,,2017-11-28 13:12:59,2017-11-28 13:12:59,"0,122s",PASSED
waitForElementNotVisible,Chrome 62.0.3202.94,Wait for page loader to dissapear before making verifications,2017-11-28 13:12:59,2017-11-28 13:13:00,"1,160s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-28 13:13:00,2017-11-28 13:13:00,"0,056s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-11-28 13:13:00,2017-11-28 13:13:00,"0,041s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-28 13:13:00,2017-11-28 13:13:00,"0,063s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-28 13:13:00,2017-11-28 13:13:00,"0,039s",PASSED
click,Chrome 62.0.3202.94,,2017-11-28 13:13:00,2017-11-28 13:13:00,"0,086s",PASSED
click,Chrome 62.0.3202.94,Select default travel insurance\r\n,2017-11-28 13:13:00,2017-11-28 13:13:00,"0,134s",PASSED
click,Chrome 62.0.3202.94,Click on individual pax insurance selection checkbox,2017-11-28 13:13:00,2017-11-28 13:13:00,"0,001s",NOT_RUN
