Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Primo Tours,Chrome 61.0.3163.100,,2017-10-26 18:08:26,2017-10-26 18:09:26,"1m - 0,754s",FAILED
,,,,,,
Test Cases/New Test Case OLTS,Chrome 61.0.3163.100,,2017-10-26 18:08:26,2017-10-26 18:08:28,"2,012s",FAILED
acceptAlert,Chrome 61.0.3163.100,,2017-10-26 18:08:27,2017-10-26 18:08:28,"1,002s",FAILED
,,,,,,
Test Cases/PrimoTours - place a booking with no payment,Chrome 61.0.3163.100,,2017-10-26 18:08:28,2017-10-26 18:09:14,"45,767s",PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-26 18:08:29,2017-10-26 18:08:32,"3,665s",PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-26 18:08:32,2017-10-26 18:08:33,"1,178s",PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-26 18:08:33,2017-10-26 18:08:38,"4,096s",PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-26 18:08:38,2017-10-26 18:08:38,"0,084s",PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:08:38,2017-10-26 18:08:38,"0,108s",PASSED
waitForElementClickable,Chrome 61.0.3163.100,,2017-10-26 18:08:38,2017-10-26 18:08:38,"0,151s",PASSED
click,Chrome 61.0.3163.100,,2017-10-26 18:08:38,2017-10-26 18:08:38,"0,369s",PASSED
click,Chrome 61.0.3163.100,,2017-10-26 18:08:38,2017-10-26 18:08:42,"3,763s",PASSED
click,Chrome 61.0.3163.100,Click search on Primotours.dk,2017-10-26 18:08:42,2017-10-26 18:08:45,"2,969s",PASSED
waitForPageLoad,Chrome 61.0.3163.100,,2017-10-26 18:08:45,2017-10-26 18:08:45,"0,025s",PASSED
waitForElementClickable,Chrome 61.0.3163.100,,2017-10-26 18:08:45,2017-10-26 18:08:45,"0,001s",NOT_RUN
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:08:45,2017-10-26 18:08:45,"0,000s",NOT_RUN
waitForElementVisible,Chrome 61.0.3163.100,,2017-10-26 18:08:45,2017-10-26 18:08:49,"3,753s",PASSED
waitForElementClickable,Chrome 61.0.3163.100,,2017-10-26 18:08:49,2017-10-26 18:08:52,"3,359s",PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:08:52,2017-10-26 18:08:52,"0,005s",NOT_RUN
click,Chrome 61.0.3163.100,"Click \""Book\"" on Primotours.dk offer",2017-10-26 18:08:52,2017-10-26 18:08:56,"3,957s",PASSED
switchToWindowTitle,Chrome 61.0.3163.100,,2017-10-26 18:08:56,2017-10-26 18:09:00,"3,693s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:00,2017-10-26 18:09:01,"0,839s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:01,2017-10-26 18:09:01,"0,438s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:01,2017-10-26 18:09:02,"0,495s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:02,2017-10-26 18:09:02,"0,400s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:02,2017-10-26 18:09:03,"0,727s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:03,2017-10-26 18:09:03,"0,500s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:03,2017-10-26 18:09:06,"2,914s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:06,2017-10-26 18:09:07,"0,703s",PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:09:07,2017-10-26 18:09:07,"0,102s",PASSED
waitForElementClickable,Chrome 61.0.3163.100,,2017-10-26 18:09:07,2017-10-26 18:09:07,"0,121s",PASSED
waitForElementVisible,Chrome 61.0.3163.100,,2017-10-26 18:09:07,2017-10-26 18:09:07,"0,083s",PASSED
click,Chrome 61.0.3163.100,,2017-10-26 18:09:07,2017-10-26 18:09:07,"0,210s",PASSED
waitForElementPresent,Chrome 61.0.3163.100,,2017-10-26 18:09:07,2017-10-26 18:09:09,"2,033s",PASSED
click,Chrome 61.0.3163.100,,2017-10-26 18:09:09,2017-10-26 18:09:10,"0,881s",PASSED
click,Chrome 61.0.3163.100,Select default travel insurance\r\n,2017-10-26 18:09:10,2017-10-26 18:09:11,"0,532s",PASSED
click,Chrome 61.0.3163.100,Click on individual pax insurance selection checkbox,2017-10-26 18:09:11,2017-10-26 18:09:11,"0,001s",NOT_RUN
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:09:11,2017-10-26 18:09:11,"0,000s",NOT_RUN
click,Chrome 61.0.3163.100,,2017-10-26 18:09:11,2017-10-26 18:09:11,"0,001s",NOT_RUN
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:09:11,2017-10-26 18:09:11,"0,250s",PASSED
waitForElementVisible,Chrome 61.0.3163.100,,2017-10-26 18:09:11,2017-10-26 18:09:11,"0,233s",PASSED
click,Chrome 61.0.3163.100,Click on individual pax insurance selection checkbox,2017-10-26 18:09:11,2017-10-26 18:09:12,"0,285s",PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:09:12,2017-10-26 18:09:12,"0,329s",PASSED
click,Chrome 61.0.3163.100,"Click on first product category \""Individual choices\"" radio button",2017-10-26 18:09:12,2017-10-26 18:09:12,"0,410s",PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:09:12,2017-10-26 18:09:12,"0,173s",PASSED
click,Chrome 61.0.3163.100,"Click on first product category \""Yes please\"" checkbox, so all passengers get default product in category",2017-10-26 18:09:12,2017-10-26 18:09:13,"0,497s",PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:09:13,2017-10-26 18:09:13,"0,004s",NOT_RUN
scrollToElement,Chrome 61.0.3163.100,Scroll to Accept terms checkbox LABEL,2017-10-26 18:09:13,2017-10-26 18:09:13,"0,001s",NOT_RUN
click,Chrome 61.0.3163.100,Click on to Accept terms checkbox LABEL,2017-10-26 18:09:13,2017-10-26 18:09:13,"0,000s",NOT_RUN
scrollToElement,Chrome 61.0.3163.100,Scroll to Accept terms checkbox ,2017-10-26 18:09:13,2017-10-26 18:09:13,"0,081s",PASSED
click,Chrome 61.0.3163.100,Click on to Accept terms checkbox ,2017-10-26 18:09:13,2017-10-26 18:09:13,"0,187s",PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-26 18:09:13,2017-10-26 18:09:14,"0,381s",PASSED
waitForElementClickable,Chrome 61.0.3163.100,,2017-10-26 18:09:14,2017-10-26 18:09:14,"0,225s",PASSED
click,Chrome 61.0.3163.100,Click on save booking.,2017-10-26 18:09:14,2017-10-26 18:09:14,"0,000s",NOT_RUN
closeBrowser,Chrome 61.0.3163.100,,2017-10-26 18:09:14,2017-10-26 18:09:14,"0,000s",NOT_RUN
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Chrome 61.0.3163.100,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2017-10-26 18:09:14,2017-10-26 18:09:26,"12,184s",PASSED
comment,Chrome 61.0.3163.100,,2017-10-26 18:09:14,2017-10-26 18:09:14,"0,023s",PASSED
comment,Chrome 61.0.3163.100,,2017-10-26 18:09:14,2017-10-26 18:09:14,"0,003s",PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-26 18:09:14,2017-10-26 18:09:23,"8,279s",PASSED
click,Chrome 61.0.3163.100,,2017-10-26 18:09:23,2017-10-26 18:09:23,"0,566s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:23,2017-10-26 18:09:24,"0,531s",PASSED
setText,Chrome 61.0.3163.100,,2017-10-26 18:09:24,2017-10-26 18:09:24,"0,489s",PASSED
comment,Chrome 61.0.3163.100,,2017-10-26 18:09:24,2017-10-26 18:09:24,"0,001s",PASSED
click,Chrome 61.0.3163.100,,2017-10-26 18:09:24,2017-10-26 18:09:25,"0,736s",PASSED
comment,Chrome 61.0.3163.100,,2017-10-26 18:09:25,2017-10-26 18:09:25,"0,001s",PASSED
"Statement - landingPage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CuraAppointment/div_Appointment), G_Timeout)",Chrome 61.0.3163.100,,2017-10-26 18:09:25,2017-10-26 18:09:25,"0,096s",PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-26 18:09:25,2017-10-26 18:09:26,"1,099s",PASSED
,,,,,,
Test Cases/Common Test Cases/Login,Chrome 61.0.3163.100,Common test case used to login. \nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2017-10-26 18:09:26,2017-10-26 18:09:26,"0,264s",FAILED
click,Chrome 61.0.3163.100,,2017-10-26 18:09:26,2017-10-26 18:09:26,"0,020s",FAILED
