Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-29 18:01:46,2017-11-29 18:10:12,"8m - 25,433s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Chrome 62.0.3202.94,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-29 18:01:47,2017-11-29 18:02:30,"43,153s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-11-29 18:01:48,2017-11-29 18:01:52,"3,921s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-29 18:01:52,2017-11-29 18:01:53,"1,221s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-29 18:01:53,2017-11-29 18:02:03,"9,903s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Chrome 62.0.3202.94,,2017-11-29 18:02:03,2017-11-29 18:02:03,"0,001s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Chrome 62.0.3202.94,,2017-11-29 18:02:03,2017-11-29 18:02:03,"0,713s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Chrome 62.0.3202.94,,2017-11-29 18:02:03,2017-11-29 18:02:03,"0,010s",PASSED
Statement - randomPaxIndex = java.lang.Math.abs(new java.util.Random().nextInt() % excelRowNo) + 1,Chrome 62.0.3202.94,,2017-11-29 18:02:03,2017-11-29 18:02:03,"0,013s",PASSED
"Statement - fname = rawData.getValue(""FirstName"", randomPaxIndex)",Chrome 62.0.3202.94,,2017-11-29 18:02:03,2017-11-29 18:02:03,"0,011s",PASSED
"Statement - lname = rawData.getValue(""LastName"", randomPaxIndex)",Chrome 62.0.3202.94,,2017-11-29 18:02:03,2017-11-29 18:02:03,"0,002s",PASSED
"Statement - pgender = rawData.getValue(""Gender"", randomPaxIndex)",Chrome 62.0.3202.94,,2017-11-29 18:02:03,2017-11-29 18:02:03,"0,001s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 18:02:03,2017-11-29 18:02:04,"0,798s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 18:02:04,2017-11-29 18:02:05,"0,237s",PASSED
click,Chrome 62.0.3202.94,,2017-11-29 18:02:05,2017-11-29 18:02:05,"0,156s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 18:02:05,2017-11-29 18:02:05,"0,232s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 18:02:05,2017-11-29 18:02:05,"0,160s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 18:02:05,2017-11-29 18:02:05,"0,334s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-29 18:02:05,2017-11-29 18:02:06,"0,321s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-29 18:02:06,2017-11-29 18:02:06,"0,164s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 62.0.3202.94,,2017-11-29 18:02:06,2017-11-29 18:02:06,"0,013s",PASSED
"Statement - roomContainerXpath = ""id(""roomAndStaticOptionsContainer"")/div[@class=""row""]/div[@class=""col-md-12 roomContainer""]""",Chrome 62.0.3202.94,,2017-11-29 18:02:06,2017-11-29 18:02:06,"0,001s",PASSED
Statement - roomsCount = driver.findElements(org.openqa.selenium.By.xpath(roomContainerXpath)).size(),Chrome 62.0.3202.94,,2017-11-29 18:02:06,2017-11-29 18:02:06,"0,039s",PASSED
"Statement - println(""roomsCount="" + roomsCount)",Chrome 62.0.3202.94,,2017-11-29 18:02:06,2017-11-29 18:02:06,"0,003s",PASSED
"Statement - For ([i = 1, i <= roomsCount, (i++)])",Chrome 62.0.3202.94,,2017-11-29 18:02:06,2017-11-29 18:02:07,"0,756s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 18:02:07,2017-11-29 18:02:07,"0,073s",PASSED
click,Chrome 62.0.3202.94,"Done so that click on \""Next\"" button is possible for Mobile env.\r\nClick on total so Keyboard area gets closed.",2017-11-29 18:02:07,2017-11-29 18:02:07,"0,081s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 18:02:07,2017-11-29 18:02:07,"0,047s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-29 18:02:07,2017-11-29 18:02:07,"0,048s",PASSED
waitForElementVisible,Chrome 62.0.3202.94,,2017-11-29 18:02:07,2017-11-29 18:02:07,"0,053s",PASSED
scrollToElement,Chrome 62.0.3202.94,,2017-11-29 18:02:07,2017-11-29 18:02:07,"0,027s",PASSED
click,Chrome 62.0.3202.94,,2017-11-29 18:02:07,2017-11-29 18:02:07,"0,079s",PASSED
delay,Chrome 62.0.3202.94,,2017-11-29 18:02:07,2017-11-29 18:02:10,"3,032s",PASSED
