Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Chrome 62.0.3202.94,,2017-11-24 19:17:34,2017-11-24 19:18:14,"40,249s",FAILED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Chrome 62.0.3202.94,,2017-11-24 19:17:34,2017-11-24 19:17:51,"16,895s",FAILED
openBrowser,Chrome 62.0.3202.94,,2017-11-24 19:17:35,2017-11-24 19:17:39,"3,617s",PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-11-24 19:17:39,2017-11-24 19:17:40,"1,567s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-11-24 19:17:40,2017-11-24 19:17:42,"2,074s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 19:17:42,2017-11-24 19:17:43,"0,625s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 19:17:43,2017-11-24 19:17:43,"0,363s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 19:17:43,2017-11-24 19:17:44,"0,308s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 19:17:44,2017-11-24 19:17:44,"0,216s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 19:17:44,2017-11-24 19:17:44,"0,377s",PASSED
setText,Chrome 62.0.3202.94,,2017-11-24 19:17:44,2017-11-24 19:17:44,"0,269s",PASSED
waitForElementClickable,Chrome 62.0.3202.94,,2017-11-24 19:17:44,2017-11-24 19:17:46,"1,132s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Chrome 62.0.3202.94,,2017-11-24 19:17:46,2017-11-24 19:17:46,"0,000s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Chrome 62.0.3202.94,,2017-11-24 19:17:46,2017-11-24 19:17:48,"2,172s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Chrome 62.0.3202.94,,2017-11-24 19:17:48,2017-11-24 19:17:48,"0,013s",PASSED
Statement - randomPaxIndex = 1,Chrome 62.0.3202.94,,2017-11-24 19:17:48,2017-11-24 19:17:48,"0,002s",PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 62.0.3202.94,,2017-11-24 19:17:48,2017-11-24 19:17:48,"0,011s",PASSED
