Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WB Primo From Excel URLs,Firefox 57.0,,2017-11-29 15:41:44,2017-11-29 15:48:44,"7m - 0,044s",PASSED
,,,,,,
Test Cases/PrimoTours/WB Primo/WB Primo staging - place booking - Iteration 1,Firefox 57.0,"Purpose of the test:\n- place bookings with no payment (no LMS) in various scenarios\n\t- pax distribution in room\n\t- multiple room numbers in booking\n\t- multiple room types in booking\n\t- various price types: normal, discount\n\t- various period durations I1, I2",2017-11-29 15:41:44,2017-11-29 15:42:22,"37,588s",PASSED
openBrowser,Firefox 57.0,,2017-11-29 15:41:45,2017-11-29 15:41:50,"5,274s",PASSED
maximizeWindow,Firefox 57.0,,2017-11-29 15:41:50,2017-11-29 15:41:50,"0,125s",PASSED
navigateToUrl,Firefox 57.0,,2017-11-29 15:41:50,2017-11-29 15:41:51,"0,923s",PASSED
"Statement - excelInfo = [""fname"":"""", ""lname"":"""", ""pgender"":"""", ""pday"":"""", ""pmonth"":"""", ""pyear"":""""]",Firefox 57.0,,2017-11-29 15:41:51,2017-11-29 15:41:51,"0,001s",PASSED
"Statement - rawData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(""Data Files/WB_Primo/Passenger_details"")",Firefox 57.0,,2017-11-29 15:41:51,2017-11-29 15:41:52,"0,660s",PASSED
Statement - excelRowNo = rawData.getRowNumbers(),Firefox 57.0,,2017-11-29 15:41:52,2017-11-29 15:41:52,"0,015s",PASSED
Statement - randomPaxIndex = java.lang.Math.abs(new java.util.Random().nextInt() % excelRowNo) + 1,Firefox 57.0,,2017-11-29 15:41:52,2017-11-29 15:41:52,"0,032s",PASSED
"Statement - fname = rawData.getValue(""FirstName"", randomPaxIndex)",Firefox 57.0,,2017-11-29 15:41:52,2017-11-29 15:41:52,"0,021s",PASSED
"Statement - lname = rawData.getValue(""LastName"", randomPaxIndex)",Firefox 57.0,,2017-11-29 15:41:52,2017-11-29 15:41:52,"0,002s",PASSED
"Statement - pgender = rawData.getValue(""Gender"", randomPaxIndex)",Firefox 57.0,,2017-11-29 15:41:52,2017-11-29 15:41:52,"0,001s",PASSED
